CYKF,YKF,Waterloo International Airport,43.460831,-80.378601,15066
CYKG,YWB,Kangiqsujuaq Wakeham Bay Airport,61.588612,-71.929443,727
CYKJ,YKJ,Key Lake Airport,57.2561,-105.617996,341
CYKL,YKL,Schefferville Airport,54.805271,-66.805199,871
CYKQ,YKQ,Waskaganish Airport,51.47361,-78.758003,472
CYKZ,YKZ,Toronto Buttonville Municipal Airport,43.862221,-79.370003,10898
CYLA,YPJ,Aupaluk Airport,59.296665,-69.599724,537
CYLH,YLH,Lansdowne House Airport,52.183334,-87.93,248
CYLL,YLL,Lloydminster Airport,53.309158,-110.071999,3089
CYLU,XGR,Kangiqsualujjuaq Georges River Airport,58.709999,-65.989998,1052
CYLW,YLW,Kelowna International Airport,49.956108,-119.376999,72862
CYMH,YMH,Mary's Harbour Airport,52.302799,-55.847198,25
CYMM,YMM,Fort McMurray Airport,56.653332,-111.221001,36378
CYMO,YMO,Moosonee Airport,51.291111,-80.607697,2558
CYMT,YMT,Chibougamau Chapais Airport,49.771938,-74.528,9722
CYMU,YUD,Umiujaq Airport,56.53611,-76.518333,398
CYMX,YMX,Montreal Mirabel International Airport,45.681938,-74.005203,28677
CYND,YND,Gatineau Ottawa Executive Airport,45.52169,-75.563499,3309
CYNE,YNE,Norway House Airport,53.954166,-97.845833,726
CYNJ,YLY,Langley Regional Airport,49.1008,-122.630997,11974
CYNL,YNL,Points North Landing Airport,58.275002,-104.081108,1211
CYNR,HZP,Fort MacKay Horizon Airport,57.381668,-111.701111,6432
CYOA,YOA,Ekati Airport,64.699448,-110.614441,129
CYOH,YOH,Oxford House Airport,54.934242,-95.27668,2199
CYOJ,YOJ,High Level Airport,58.62138,-117.164001,550
CYOO,YOO,Oshawa Executive Airport,43.916668,-78.900002,6465
CYOW,YOW,Ottawa Macdonald-Cartier International Airport,45.322498,-75.669098,145453
CYPA,YPA,Prince Albert Glass Field Airport,53.214161,-105.671997,9633
CYPD,YPS,Port Hawkesbury Airport,45.616669,-61.349998,1221
CYPE,YPE,Peace River Airport,56.22694,-117.446999,5479
CYPH,YPH,Inukjuak Airport,58.471661,-78.077202,502
CYPL,YPL,Pickle Lake Airport,51.446381,-90.214104,1128
CYPM,YPM,Pikangikum Airport,51.817375,-93.97287,1912
CYPN,YPN,Port-Menier Airport,49.83638,-64.288597,2369
CYPQ,YPQ,Peterborough Airport,44.23,-78.363297,5387
CYPR,YPR,Prince Rupert Airport,54.28611,-130.444,3570
CYPW,YPW,Powell River Airport,49.816666,-124.5,5314
CYPX,YPX,Puvirnituq Airport,60.052223,-77.287498,1159
CYPY,YPY,Fort Chipewyan Airport,58.76722,-111.116997,1742
CYQA,YQA,Muskoka Airport,44.97472,-79.303299,3652
CYQB,YQB,Quebec City International Airport,46.791111,-71.393303,86527
CYQD,YQD,The Pas Airport,53.971378,-101.091003,528
CYQF,YQF,Red Deer Regional Airport,52.18222,-113.893997,17405
CYQG,YQG,Windsor International Airport,42.275551,-82.955498,20645
CYQI,YQI,Yarmouth Airport,43.833332,-66.083336,1662
CYQK,YQK,Kenora Airport,49.78833,-94.362999,6065
CYQL,YQL,Lethbridge Airport,49.630268,-112.799004,13284
CYQM,YQM,Moncton International Airport,46.112221,-64.678596,46330
CYQQ,YQQ,Comox Valley Airport,49.710831,-124.886002,19587
CYQR,YQR,Regina International Airport,50.431938,-104.665001,44572
CYQT,YQT,Thunder Bay International Airport,48.371941,-89.323799,63355
CYQU,YQU,Grande Prairie Airport,55.179722,-118.885002,29780
CYQX,YQX,Gander International Airport,48.936939,-54.568001,21702
CYQY,YQY,Sydney J.A. Douglas McCurdy Airport,46.161381,-60.047699,11955
CYQZ,YQZ,Quesnel Airport,53.026112,-122.510002,4115
CYRB,YRB,Resolute Bay Airport,74.716942,-94.969398,342
CYRL,YRL,Red Lake Airport,51.060001,-93.790001,9353
CYRQ,YRQ,Trois-Rivieres Airport,46.362202,-72.675591,7086
CYRS,YRS,Red Sucker Lake Airport,54.167568,-93.557617,198
CYRT,YRT,Rankin Inlet Airport,62.81139,-92.115799,3349
CYRV,YRV,Revelstoke Airport,51,-118.166664,143
CYSB,YSB,Sudbury Airport,46.625,-80.798798,27134
CYSC,YSC,Sherbrooke,45.43861,-71.691299,1243
CYSF,YSF,Stony Rapids Airport,59.25,-105.841003,1604
CYSJ,YSJ,Saint John Airport,45.316109,-65.890198,20381
CYSK,YSK,Sanikiluaq Airport,56.537769,-79.246597,732
CYSM,YSM,Fort Smith Airport,60.020271,-111.960999,902
CYSN,YCM,St. Catharines Niagara District Airport,43.1917,-79.1717,5011
CYST,YST,St. Theresa Point Airport,53.84,-94.849998,286
CYTE,YTE,Cape Dorset Airport,64.230003,-76.526604,469
CYTH,YTH,Thompson Airport,55.801109,-97.864098,20695
CYTL,YTL,Big Trout Lake Airport,53.817501,-89.896896,2814
CYTQ,YTQ,Tasiujaq Airport,58.667778,-69.955833,608
CYTS,YTS,Timmins Airport,48.569721,-81.376602,12971
CYTZ,YTZ,Toronto City Billy Bishop Airport,43.627491,-79.396103,107448
